time,relative_time,step,negotiator,offer,responses,state,text,data,BoulwareTBNegotiator@0,ConcederTBNegotiator@1
0.01958375,0.19607843137254902,9,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.01958375,0.19607843137254902,9,ConcederTBNegotiator@1,"(1, 1, 2, 'premium')",{},continuing,,,0.21962313190383367,0.39674347855546455
0.020519625,0.21568627450980393,10,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.020519625,0.21568627450980393,10,ConcederTBNegotiator@1,"(4, 6, 9, 'premium')",{},continuing,,,0.3294346978557505,0.38239116309291754
0.021456792,0.23529411764705882,11,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.021456792,0.23529411764705882,11,ConcederTBNegotiator@1,"(4, 3, 2, 'premium')",{},continuing,,,0.260233918128655,0.36880325763278754
0.022411458,0.2549019607843137,12,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.022411458,0.2549019607843137,12,ConcederTBNegotiator@1,"(6, 4, 3, 'premium')",{},continuing,,,0.3801169590643275,0.3559717723442915
0.023362625,0.27450980392156865,13,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.023362625,0.27450980392156865,13,ConcederTBNegotiator@1,"(4, 1, 2, 'premium')",{},continuing,,,0.31221572449642626,0.3441118996080962
0.024378875,0.29411764705882354,14,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.024378875,0.29411764705882354,14,ConcederTBNegotiator@1,"(2, 1, 2, 'basic')",{},continuing,,,0.40188434048083177,0.3324159931753476
0.025373583,0.3137254901960784,15,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.025373583,0.3137254901960784,15,ConcederTBNegotiator@1,"(7, 1, 6, 'standard')",{},continuing,,,0.6562703053931125,0.3215811757705649
0.026370292,0.3333333333333333,16,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.026370292,0.3333333333333333,16,ConcederTBNegotiator@1,"(9, 3, 6, 'standard')",{},continuing,,,0.801819363222872,0.31118481449701063
0.027401292,0.35294117647058826,17,BoulwareTBNegotiator@0,"(9, 1, 9, 'basic')",{},continuing,,,1.0,0.09356725146198831
0.027401292,0.35294117647058826,17,ConcederTBNegotiator@1,"(5, 2, 0, 'basic')",{},continuing,,,0.4688109161793373,0.30149447693307346
0.028400917,0.37254901960784315,18,BoulwareTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9824561403508771,0.13742690058479534
0.028400917,0.37254901960784315,18,ConcederTBNegotiator@1,"(6, 5, 9, 'premium')",{},continuing,,,0.46751137102014295,0.29174788823911635
0.029414667,0.39215686274509803,19,BoulwareTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9824561403508771,0.13742690058479534
0.029414667,0.39215686274509803,19,ConcederTBNegotiator@1,"(8, 4, 2, 'basic')",{},continuing,,,0.6991552956465237,0.2827083908361663
0.03042175,0.4117647058823529,20,BoulwareTBNegotiator@0,"(9, 1, 8, 'basic')",{},continuing,,,0.9824561403508771,0.13742690058479534
0.03042175,0.4117647058823529,20,ConcederTBNegotiator@1,"(8, 1, 2, 'premium')",{},continuing,,,0.6085120207927225,0.2739364610116049
0.031434583,0.43137254901960786,21,BoulwareTBNegotiator@0,"(9, 2, 9, 'basic')",{},continuing,,,0.9723846653671215,0.09974009096816115
0.031434583,0.43137254901960786,21,ConcederTBNegotiator@1,"(8, 1, 3, 'premium')",{},continuing,,,0.6260558804418453,0.2653284974904903
0.032441292,0.45098039215686275,22,BoulwareTBNegotiator@0,"(9, 1, 7, 'basic')",{},continuing,,,0.9649122807017545,0.15559416209238722
0.032441292,0.45098039215686275,22,ConcederTBNegotiator@1,"(4, 1, 6, 'basic')",{},continuing,,,0.5461338531513971,0.2572536903904479
0.033469,0.47058823529411764,23,BoulwareTBNegotiator@0,"(9, 2, 8, 'basic')",{},continuing,,,0.9548408057179987,0.14359974009096818
0.033469,0.47058823529411764,23,ConcederTBNegotiator@1,"(4, 2, 7, 'basic')",{},continuing,,,0.5360623781676414,0.24948629984417414
0.0344925,0.49019607843137253,24,BoulwareTBNegotiator@0,"(9, 1, 6, 'basic')",{},continuing,,,0.9473684210526316,0.16953439214483385
0.0344925,0.49019607843137253,24,ConcederTBNegotiator@1,"(7, 2, 3, 'basic')",{},continuing,,,0.6695906432748538,0.24226157091479178
0.035551292,0.5098039215686274,25,BoulwareTBNegotiator@0,"(9, 2, 7, 'basic')",{},continuing,,,0.937296946068876,0.16176700159856006
0.035551292,0.5098039215686274,25,ConcederTBNegotiator@1,"(9, 2, 5, 'premium')",{},continuing,,,0.7384665367121508,0.23424301494476935
0.0365825,0.5294117647058824,26,BoulwareTBNegotiator@0,"(9, 4, 9, 'basic')",{},continuing,,,0.9269005847953218,0.14912280701754388
0.0365825,0.5294117647058824,26,ConcederTBNegotiator@1,"(7, 1, 4, 'basic')",{},continuing,,,0.7147498375568553,0.22672812766811945
0.037612042,0.5490196078431373,27,BoulwareTBNegotiator@0,"(9, 2, 6, 'basic')",{},continuing,,,0.9197530864197532,0.17570723165100666
0.037612042,0.5490196078431373,27,ConcederTBNegotiator@1,"(8, 1, 7, 'premium')",{},continuing,,,0.6962313190383366,0.2199216474725042
0.038645833,0.5686274509803921,28,BoulwareTBNegotiator@0,"(9, 2, 5, 'basic')",{},continuing,,,0.9022092267706303,0.1874593892137752
0.038645833,0.5686274509803921,28,ConcederTBNegotiator@1,"(8, 4, 9, 'premium')",{},continuing,,,0.6582196231319039,0.21345029239766086
0.039685125,0.5882352941176471,29,BoulwareTBNegotiator@0,"(9, 1, 8, 'standard')",{'BoulwareTBNegotiator@0': <ResponseType.ACCEPT_OFFER: 0>},agreement,,,0.8888888888888888,0.25438596491228077
